,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
0,creduc1,Crested Duck,Lophonetta specularioides,L4011174,Muelle Shackleton,2022-04-09,17.0,-53.062634,-70.858139,False,-1,Magallanes,2022
1,bknsti,Black-necked Stilt,Himantopus mexicanus,L604483,Pichicuy--Humedal,2022-07-20,6.0,-32.3469021,-71.4466238,False,-1,Valparaíso,2022
2,dutcan1,Dusky-tailed Canastero,Pseudasthenes humicola,L12609079,Boulder de Las Papas,2022-12-22,2.0,-33.4103724,-70.4985351,False,-1,Región Metropolitana de Santiago,2022
4,yebpin1,Yellow-billed Pintail,Anas georgica,L2958047,Laguna Lomas del Carmen (Los Patos),2022-04-06,6.0,-38.7219267,-72.6565817,False,-1,Araucanía,2022
15,pifshe,Pink-footed Shearwater,Ardenna creatopus,L570174,Quintero--Pelágico,2022-09-24,0.0,-32.7693779,-71.5838242,False,-1,Valparaíso,2022
25,ongtyr1,Ochre-naped Ground-Tyrant,Muscisaxicola flavinucha,L21967849,Sendero Paso Desolación Petrohue Los Lagos CL (-41.076 -72.468),2022-12-29,1.0,-41.0762097,-72.4682462,True,-1,Los Lagos,2022
32,bhsfin1,Black-hooded Sierra Finch,Phrygilus atriceps,L20511197,B-245 Guatin Antofagasta CL (-22737 -68062),2022-07-25,4.0,-22.7369995,-68.0615087,True,-1,Antofagasta,2022
33,masboo,Masked Booby,Sula dactylatra,L21432179,End Of Airport Seabirding,2022-11-03,4.0,-27.1564536,-109.441398,True,-1,Valparaíso,2022
50,scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L3914417,Parque Uruguay,2022-12-24,2.0,-33.4220439,-70.6155213,False,-1,Región Metropolitana de Santiago,2022
54,shicow,Shiny Cowbird,Molothrus bonariensis,L12681802,Parque Eduardo Frei Montalva,2022-07-14,23.0,-33.5117747,-70.5877157,False,-1,Región Metropolitana de Santiago,2022
63,lesyel,Lesser Yellowlegs,Tringa flavipes,L16792130,Fuerte Reina Luisa,2022-03-13,1.0,-40.5739189,-73.1436896,False,-1,Los Lagos,2022
90,fotfly,Fork-tailed Flycatcher,Tyrannus savana,L1033516,Río Tres Brazos--Desembocadura,2022-11-16,1.0,-53.2722198,-70.9444284,False,-1,Magallanes,2022
96,torduc1,Torrent Duck,Merganetta armata,L21084712,Pejerrey,2022-09-25,2.0,-36.0549694,-71.4025052,True,-1,Maule,2022
108,rocpig,Rock Pigeon,Columba livia,L4777617,Osorno,2022-02-03,20.0,-40.5724194,-73.1359863,False,0,Los Lagos,2022
113,shicow,Shiny Cowbird,Molothrus bonariensis,L570658,SN Laguna Batuco,2022-08-03,1.0,-33.2064427,-70.8279133,False,-1,Región Metropolitana de Santiago,2022
116,kelgul,Kelp Gull,Larus dominicanus,L18705723,Plaza Carlos Condell,2022-12-15,5.0,-36.8177893,-73.0432862,False,-1,Bío-Bío,2022
135,ameoys,American Oystercatcher,Haematopus palliatus,L668852,Río Lluta--Desembocadura,2022-03-19,4.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota,2022
140,blhduc1,Black-headed Duck,Heteronetta atricapilla,L861844,Humedal Urbano Cartagena,2022-05-17,1.0,-33.5350454,-71.6022348,False,-1,Valparaíso,2022
144,andswa2,Andean Swallow,Orochelidon andecola,L516530,PN Lauca--Lago Chungará,2022-11-14,1.0,-18.2560888,-69.1623688,False,-1,Arica y Parinacota,2022
158,wbctyr1,White-browed Chat-Tyrant,Ochthoeca leucophrys,L570508,Putre,2022-02-12,1.0,-18.1964537,-69.5565677,False,-1,Arica y Parinacota,2022
162,crwcin1,Cream-winged Cinclodes,Cinclodes albiventris,L570508,Putre,2022-10-31,1.0,-18.1964537,-69.5565677,False,-1,Arica y Parinacota,2022
168,crgdov1,Croaking Ground Dove,Columbina cruziana,L25650315,Chamonate--Predio 5,2022-03-01,34.0,-27.2904313,-70.4486244,True,-1,Atacama,2022
169,fragul,Franklin's Gull,Leucophaeus pipixcan,L604818,SN Humedal Salinas de Pullally y Dunas de Longotoma--Desembocadura,2022-11-08,4.0,-32.4101103,-71.4107895,False,-1,Valparaíso,2022
178,flistd1,Flightless Steamer-Duck,Tachyeres pteneres,L22344367,Bahia Yendegaia Chile,2022-04-17,2.0,-54.865996,-68.690936,True,-1,Magallanes,2022
181,pattyr2,Patagonian Tyrant,Colorhamphus parvirostris,L12798160,5520000 Puerto Montt CL-Los Lagos (-413703-727232),2022-11-03,1.0,-41.370289,-72.723245,True,-1,Los Lagos,2022
183,cintea,Cinnamon Teal,Spatula cyanoptera,L17195772,Humedal artificial Tranque del Pavo,2022-01-23,24.0,-33.6041787,-71.0300798,False,-1,Región Metropolitana de Santiago,2022
187,gryfin2,Greater Yellow-Finch,Sicalis auriventris,L690098,SN Yerba Loca--vega (2800 msnm),2022-12-14,2.0,-33.2478759,-70.2818584,False,-1,Región Metropolitana de Santiago,2022
195,lotmea1,Long-tailed Meadowlark,Leistes loyca,L15947623,Cerro Punta Alta,2022-12-16,5.0,-34.431459,-71.0393102,False,-1,Libertador General Bernardo O'Higgins,2022
199,wepdov1,West Peruvian Dove,Zenaida meloda,L2080015,Tranque El Escorial,2022-05-29,1.0,-33.8528647,-70.6010413,False,-1,Región Metropolitana de Santiago,2022
208,tatdot1,Tawny-throated Dotterel,Oreopholus ruficollis,L1030752,Pampa Larga,2022-11-18,2.0,-52.2679473,-69.7321129,False,-1,Magallanes,2022
213,yebtea1,Yellow-billed Teal,Anas flavirostris,L4051381,Quillaipe,2022-05-05,12.0,-41.5307483,-72.7408648,False,-1,Los Lagos,2022
